<SemiconductorModuleTests>																					
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ComparisonType>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	<TestDataSource>	<DynamicPAT_Enabled>	<DynamicPAT_TestNumber>	<DynamicPAT_TestName>	<DynamicPAT_FailBin>	<DynamicPAT_LowLimit>	<DynamicPAT_HighLimit>
	ADuM225_qc_flow	continuity	ID#:8hxtOrPt7xGyL6hZXyCkjD	tt_continuity	30000000				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	continuity	ID#:8hxtOrPt7xGyL6hZXyCkjD	pos_diode	1		0.35	0.71	GELE			Numeric Limit	8	pos_diode		FALSE					
	ADuM225_qc_flow	continuity	ID#:8hxtOrPt7xGyL6hZXyCkjD	neg_diode	2		-0.7	-0.35	GELE			Numeric Limit	8	neg_diode		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_1p9_1p9	ID#:8xxtOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N0_1p9_1p9	30000001				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_1p9_1p9	ID#:8xxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_1p9_1p9	9		0.003	0.0096	GELE			Numeric Limit	7	IDD_VDD1_high_1p9_1p9		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_1p9_1p9	ID#:8xxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_1p9_1p9	10		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_high_1p9_1p9		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_1p9_1p9	ID#:8xxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_1p9_1p9	11		0.0005	0.0012	GELE			Numeric Limit	7	IDD_VDD1_low_1p9_1p9		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_1p9_1p9	ID#:8xxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_1p9_1p9	12		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_low_1p9_1p9		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_1p9_1p9	ID#:9BxtOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N1_1p9_1p9	30000002				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_1p9_1p9	ID#:9BxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_1p9_1p9	13		0.0005	0.0012	GELE			Numeric Limit	7	IDD_VDD1_high_1p9_1p9		FALSE					
