<SemiconductorModuleTests>
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ComparisonType>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	<TestDataSource>	<DynamicPAT_Enabled>	<DynamicPAT_TestNumber>	<DynamicPAT_TestName>	<DynamicPAT_FailBin>	<DynamicPAT_LowLimit>	<DynamicPAT_HighLimit>	
	ADuM225_pd_ipat_flow	continuity	ID#:wxptOrPt7xGyL6hZXyCkjD	tt_continuity	10000000				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	continuity	ID#:wxptOrPt7xGyL6hZXyCkjD	pos_diode	2		0.35	0.51	GELE			Numeric Limit	8	pos_diode		False						
	ADuM225_pd_ipat_flow	continuity	ID#:wxptOrPt7xGyL6hZXyCkjD	neg_diode			-0.5	-0.35	GELE			Numeric Limit	8	neg_diode		False						
	ADuM225_pd_ipat_flow	idle_supply_current_N0_1p9_1p9	ID#:xBptOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N0_1p9_1p9	10000001				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	idle_supply_current_N0_1p9_1p9	ID#:xBptOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_1p9_1p9	75		0.0033811	0.0092189	GELE			Numeric Limit	7	IDD_VDD1_high_1p9_1p9		True	900	IDD_VDD1_high_1p9_1p9_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_1p9_1p9	ID#:xBptOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_1p9_1p9	77		0.0005316	0.0017684	GELE			Numeric Limit	7	IDD_VDD2_high_1p9_1p9		True	1000	IDD_VDD2_high_1p9_1p9_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_1p9_1p9	ID#:xBptOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_1p9_1p9	76		0.0005396	0.0011604	GELE			Numeric Limit	7	IDD_VDD1_low_1p9_1p9		True	1100	IDD_VDD1_low_1p9_1p9_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_1p9_1p9	ID#:xBptOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_1p9_1p9	78		0.0005261	0.0017739	GELE			Numeric Limit	7	IDD_VDD2_low_1p9_1p9		True	1200	IDD_VDD2_low_1p9_1p9_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_1p9_1p9	ID#:xRptOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N1_1p9_1p9	10000002				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	idle_supply_current_N1_1p9_1p9	ID#:xRptOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_1p9_1p9	80		0.0005396	0.0011604	GELE			Numeric Limit	7	IDD_VDD1_high_1p9_1p9		True	1300	IDD_VDD1_high_1p9_1p9_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_1p9_1p9	ID#:xRptOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_1p9_1p9	79		0.0005261	0.0017739	GELE			Numeric Limit	7	IDD_VDD2_high_1p9_1p9		True	1400	IDD_VDD2_high_1p9_1p9_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_1p9_1p9	ID#:xRptOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_1p9_1p9	81		0.0033811	0.0092189	GELE			Numeric Limit	7	IDD_VDD1_low_1p9_1p9		True	1500	IDD_VDD1_low_1p9_1p9_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_1p9_1p9	ID#:xRptOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_1p9_1p9	82		0.0005316	0.0017684	GELE			Numeric Limit	7	IDD_VDD2_low_1p9_1p9		True	1600	IDD_VDD2_low_1p9_1p9_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_1p9_1p9	ID#:xhptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_1Mbps_1p9_1p9	10000003				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_1p9_1p9	ID#:xhptOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD1_1p9_1p9	85		0.0007113	0.0057887	GELE			Numeric Limit	9	IDD_1MB_VDD1_1p9_1p9		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_1p9_1p9	ID#:xhptOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD2_1p9_1p9	87		0.0005278	0.0017722	GELE			Numeric Limit	9	IDD_1MB_VDD2_1p9_1p9		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_1p9_1p9	ID#:xxptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_25Mbps_1p9_1p9	10000004				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_1p9_1p9	ID#:xxptOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD1_1p9_1p9	86		0.0007176	0.0061824	GELE			Numeric Limit	9	IDD_25MB_VDD1_1p9_1p9		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_1p9_1p9	ID#:xxptOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD2_1p9_1p9	88		0.0005373	0.0027627	GELE			Numeric Limit	9	IDD_25MB_VDD2_1p9_1p9		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_1p9_1p9	ID#:yBptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_100Mbps_1p9_1p9	10000005				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_1p9_1p9	ID#:yBptOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD1_1p9_1p9	90		0.0007516	0.0081484	GELE			Numeric Limit	9	IDD_100MB_VDD1_1p9_1p9		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_1p9_1p9	ID#:yBptOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD2_1p9_1p9	89		0.0005817	0.0057183	GELE			Numeric Limit	9	IDD_100MB_VDD2_1p9_1p9		False						
	ADuM225_pd_ipat_flow	idle_supply_current_N0_2p75_2p75	ID#:yRptOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N0_2p75_2p75	10000006				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	idle_supply_current_N0_2p75_2p75	ID#:yRptOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_2p75_2p75	83		0.0033918	0.0091082	GELE			Numeric Limit	7	IDD_VDD1_high_2p75_2p75		True	2300	IDD_VDD1_high_2p75_2p75_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_2p75_2p75	ID#:yRptOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_2p75_2p75	91		0.0005289	0.0017711	GELE			Numeric Limit	7	IDD_VDD2_high_2p75_2p75		True	2400	IDD_VDD2_high_2p75_2p75_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_2p75_2p75	ID#:yRptOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_2p75_2p75	93		0.0005411	0.0011589	GELE			Numeric Limit	7	IDD_VDD1_low_2p75_2p75		True	2500	IDD_VDD1_low_2p75_2p75_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_2p75_2p75	ID#:yRptOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_2p75_2p75	95		0.0005262	0.0017738	GELE			Numeric Limit	7	IDD_VDD2_low_2p75_2p75		True	2600	IDD_VDD2_low_2p75_2p75_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_2p75_2p75	ID#:yhptOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N1_2p75_2p75	10000007				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	idle_supply_current_N1_2p75_2p75	ID#:yhptOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_2p75_2p75	96		0.0005411	0.0011589	GELE			Numeric Limit	7	IDD_VDD1_high_2p75_2p75		True	2700	IDD_VDD1_high_2p75_2p75_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_2p75_2p75	ID#:yhptOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_2p75_2p75	98		0.0005262	0.0017738	GELE			Numeric Limit	7	IDD_VDD2_high_2p75_2p75		True	2800	IDD_VDD2_high_2p75_2p75_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_2p75_2p75	ID#:yhptOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_2p75_2p75	100		0.0033918	0.0091082	GELE			Numeric Limit	7	IDD_VDD1_low_2p75_2p75		True	2900	IDD_VDD1_low_2p75_2p75_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_2p75_2p75	ID#:yhptOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_2p75_2p75	92		0.0005289	0.0017711	GELE			Numeric Limit	7	IDD_VDD2_low_2p75_2p75		True	3000	IDD_VDD2_low_2p75_2p75_PAT	151	-6	6	
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_2p75_2p75	ID#:yxptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_1Mbps_2p75_2p75	10000008				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_2p75_2p75	ID#:yxptOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD1_2p75_2p75	97		0.0007142	0.0059858	GELE			Numeric Limit	9	IDD_1MB_VDD1_2p75_2p75		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_2p75_2p75	ID#:yxptOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD2_2p75_2p75	99		0.0005266	0.0018734	GELE			Numeric Limit	9	IDD_1MB_VDD2_2p75_2p75		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_2p75_2p75	ID#:zBptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_25Mbps_2p75_2p75	10000009				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_2p75_2p75	ID#:zBptOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD1_2p75_2p75	101		0.0007207	0.0063793	GELE			Numeric Limit	9	IDD_25MB_VDD1_2p75_2p75		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_2p75_2p75	ID#:zBptOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD2_2p75_2p75	103		0.0005419	0.0027581	GELE			Numeric Limit	9	IDD_25MB_VDD2_2p75_2p75		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_2p75_2p75	ID#:zRptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_100Mbps_2p75_2p75	10000010				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_2p75_2p75	ID#:zRptOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD1_2p75_2p75	102		0.0007594	0.0087406	GELE			Numeric Limit	9	IDD_100MB_VDD1_2p75_2p75		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_2p75_2p75	ID#:zRptOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD2_2p75_2p75	105		0.0006154	0.0056846	GELE			Numeric Limit	9	IDD_100MB_VDD2_2p75_2p75		False						
	ADuM225_pd_ipat_flow	idle_supply_current_N0_3p6_3p6	ID#:zhptOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N0_3p6_3p6	10000011				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	idle_supply_current_N0_3p6_3p6	ID#:zhptOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_3p6_3p6	109		0.0033975	0.0093025	GELE			Numeric Limit	7	IDD_VDD1_high_3p6_3p6		True	3700	IDD_VDD1_high_3p6_3p6_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_3p6_3p6	ID#:zhptOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_3p6_3p6	111		0.0005272	0.0017728	GELE			Numeric Limit	7	IDD_VDD2_high_3p6_3p6		True	3800	IDD_VDD2_high_3p6_3p6_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_3p6_3p6	ID#:zhptOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_3p6_3p6	106		0.0005451	0.0012549	GELE			Numeric Limit	7	IDD_VDD1_low_3p6_3p6		True	3900	IDD_VDD1_low_3p6_3p6_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_3p6_3p6	ID#:zhptOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_3p6_3p6	110		0.0005286	0.0017714	GELE			Numeric Limit	7	IDD_VDD2_low_3p6_3p6		True	4000	IDD_VDD2_low_3p6_3p6_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_3p6_3p6	ID#:zxptOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N1_3p6_3p6	10000012				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	idle_supply_current_N1_3p6_3p6	ID#:zxptOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_3p6_3p6	112		0.0005451	0.0012549	GELE			Numeric Limit	7	IDD_VDD1_high_3p6_3p6		True	4100	IDD_VDD1_high_3p6_3p6_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_3p6_3p6	ID#:zxptOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_3p6_3p6	113		0.0005286	0.0017714	GELE			Numeric Limit	7	IDD_VDD2_high_3p6_3p6		True	4200	IDD_VDD2_high_3p6_3p6_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_3p6_3p6	ID#:zxptOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_3p6_3p6	115		0.0033975	0.0093025	GELE			Numeric Limit	7	IDD_VDD1_low_3p6_3p6		True	4300	IDD_VDD1_low_3p6_3p6_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_3p6_3p6	ID#:zxptOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_3p6_3p6	116		0.0005272	0.0017728	GELE			Numeric Limit	7	IDD_VDD2_low_3p6_3p6		True	4400	IDD_VDD2_low_3p6_3p6_PAT		-6	6	
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_3p6_3p6	ID#:0BptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_1Mbps_3p6_3p6	10000013				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_3p6_3p6	ID#:0BptOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD1_3p6_3p6	118		0.0007192	0.0059808	GELE			Numeric Limit	9	IDD_1MB_VDD1_3p6_3p6		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_3p6_3p6	ID#:0BptOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD2_3p6_3p6	114		0.0005289	0.0018711	GELE			Numeric Limit	9	IDD_1MB_VDD2_3p6_3p6		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_3p6_3p6	ID#:0RptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_25Mbps_3p6_3p6	10000014				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_3p6_3p6	ID#:0RptOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD1_3p6_3p6	117		0.0007232	0.0064768	GELE			Numeric Limit	9	IDD_25MB_VDD1_3p6_3p6		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_3p6_3p6	ID#:0RptOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD2_3p6_3p6	119		0.0005493	0.0030507	GELE			Numeric Limit	9	IDD_25MB_VDD2_3p6_3p6		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_3p6_3p6	ID#:0hptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_100Mbps_3p6_3p6	10000015				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_3p6_3p6	ID#:0hptOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD1_3p6_3p6	121		0.0007676	0.0088324	GELE			Numeric Limit	9	IDD_100MB_VDD1_3p6_3p6		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_3p6_3p6	ID#:0hptOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD2_3p6_3p6	123		0.0006487	0.0066513	GELE			Numeric Limit	9	IDD_100MB_VDD2_3p6_3p6		False						
	ADuM225_pd_ipat_flow	idle_supply_current_N0_5p5_5p5	ID#:0xptOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N0_5p5_5p5	10000016				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	idle_supply_current_N0_5p5_5p5	ID#:0xptOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_5p5_5p5	120		0.0034094	0.0095906	GELE			Numeric Limit	7	IDD_VDD1_high_5p5_5p5		True	5100	IDD_VDD1_high_5p5_5p5_PAT		-6	6	
