<SemiconductorModuleTests>
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_DIB_Supply_5V_1	10	P143_4081_DMM	4.5	5.5			Numeric Limit		DIB_Supply_5V_1	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_DIB_Supply_5V_2	20	P143_4081_DMM	4.5	5.5		V	Numeric Limit		DIB_Supply_5V_2	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_DIB_Supply_5V_3	30	P143_4081_DMM	4.5	5.5		V	Numeric Limit		DIB_Supply_5V_3	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_DIB_Supply_12V_Slave	40	P143_4081_DMM	10.5	13.05		V	Numeric Limit		DIB_Supply_12V_Slave	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_Master_15V	50	P143_4081_DMM	13.5	16.5		V	Numeric Limit		Master_15V	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_Slave_15V	60	P143_4081_DMM	13.5	16.5		V	Numeric Limit		Slave_15V	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_Relay_Supply_12V	70	P143_4081_DMM	10.5	13.05		V	Numeric Limit		Relay_Supply_12V	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_TFE_5V	80	P143_4081_DMM	4.5	5.5		V	Numeric Limit		TFE_5V	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_HMOD_5V	90	P143_4081_DMM	4.5	5.5		V	Numeric Limit		HMOD_5V	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_COMP_n5p2V	100	P143_4081_DMM	-5.5	-4.5		V	Numeric Limit		COMP_n5p2V	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_XOR_n5V	110	P143_4081_DMM	-5.5	-4.5		V	Numeric Limit		XOR_n5V	
	TB_Checker	Supply Check	ID#:bIvTA/x08RGJywIAAQ0rpD	TxBrd_n2V	120	P143_4081_DMM	-2.5	-1.5		V	Numeric Limit		n2V	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH1_HI_Voltage	130	DC30V_SL24_CH1	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH3_HI_Voltage	140	DC30V_SL24_CH3	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH5_HI_Voltage	150	DC30V_SL24_CH5	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH7_HI_Voltage	160	DC30V_SL24_CH7	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH9_HI_Voltage	170	DC30V_SL24_CH9	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH11_HI_Voltage	180	DC30V_SL24_CH11	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH13_HI_Voltage	190	DC30V_SL24_CH13	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH15_HI_Voltage	200	DC30V_SL24_CH15	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH17_HI_Voltage	210	DC30V_SL24_CH17	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL24_CH19_HI_Voltage	220	DC30V_SL24_CH19	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL04_CH1_HI_Voltage	230	DC30V_SL04_CH1	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
	TB_Checker	DC30 Open Check	ID#:8BGn0zJ08RGJywIAAQ0rpD	TxBrd_DC30V_SL04_CH3_HI_Voltage	240	DC30V_SL04_CH3	2.5	3.5		V	Numeric Limit		DC30_HI_Voltage	
