Test #,Test Name,Count,Mean,SD,Min,Max,Range,QC-Lo-Lim (Mean-4σ),QC-Hi-Lim (Mean+4σ),Units
10,TxBrd_DIB_Supply_5V_1,123,4.9859,0.0003824,4.9852,4.9866,0.0014,4.9843704,4.9874296,V
20,TxBrd_DIB_Supply_5V_2,123,5.0103,0.0144,4.9953,5.0246,0.0293,4.9527,5.0679,V
30,TxBrd_DIB_Supply_5V_3,123,5.01,0.0028,5.0068,5.0133,0.0066,4.9988,5.0212,V
40,TxBrd_DIB_Supply_12V_Slave,123,12.0481,0.0091,12.0377,12.0584,0.0208,12.0117,12.0845,V
50,TxBrd_Master_15V,123,14.7359,0.0405,14.694,14.7775,0.0835,14.5739,14.8979,V
60,TxBrd_Slave_15V,123,14.9074,0.1117,14.793,15.0167,0.2237,14.4606,15.3542,V
70,TxBrd_Relay_Supply_12V,123,11.5675,0.0207,11.4188,11.5934,0.1746,11.4847,11.6503,V
80,TxBrd_TFE_5V,123,4.985,0.0247,4.9595,5.0092,0.0498,4.8862,5.0838,V
90,TxBrd_HMOD_5V,123,4.9714,0.0138,4.9559,4.9852,0.0293,4.9162,5.0266,V
100,TxBrd_COMP_n5p2V,123,-5.1953,0.0028,-5.1984,-5.192,0.0064,-5.2065,-5.1841,V
110,TxBrd_XOR_n5V,123,-4.9988,0.0063,-5.0055,-4.992,0.0134,-5.024,-4.9736,V
120,TxBrd_n2V,123,-1.9799,0.0017,-1.9822,-1.9776,0.0046,-1.9867,-1.9731,V
130,TxBrd_DC30V_SL24_CH1_HI_Voltage,123,2.9946,0.0001544,2.9943,2.9949,0.0005896,2.9939824,2.9952176,V
140,TxBrd_DC30V_SL24_CH3_HI_Voltage,123,2.9947,0.0002523,2.9943,2.9952,0.0008795,2.9936908,2.9957092,V
150,TxBrd_DC30V_SL24_CH5_HI_Voltage,123,2.9944,0.0013,2.9915,2.997,0.0055,2.9892,2.9996,V
160,TxBrd_DC30V_SL24_CH7_HI_Voltage,123,2.9935,0.0011,2.991,2.9965,0.0055,2.9891,2.9979,V
170,TxBrd_DC30V_SL24_CH9_HI_Voltage,123,2.994,0.0001614,2.9938,2.9944,0.0006828,2.9933544,2.9946456,V
180,TxBrd_DC30V_SL24_CH11_HI_Voltage,123,2.9941,0.0001165,2.9939,2.9943,0.000411,2.993634,2.994566,V
190,TxBrd_DC30V_SL24_CH13_HI_Voltage,123,2.9931,0.0001738,2.9928,2.9934,0.0006497,2.9924048,2.9937952,V
200,TxBrd_DC30V_SL24_CH15_HI_Voltage,123,2.9933,0.0002234,2.9928,2.9937,0.0008178,2.9924064,2.9941936,V
210,TxBrd_DC30V_SL24_CH17_HI_Voltage,123,2.9945,0.0001308,2.9942,2.9947,0.0005147,2.9939768,2.9950232,V
220,TxBrd_DC30V_SL24_CH19_HI_Voltage,123,2.9944,0.0001038,2.9942,2.9946,0.0003886,2.9939848,2.9948152,V
230,TxBrd_DC30V_SL04_CH1_HI_Voltage,123,2.9946,0.0001411,2.9944,2.9949,0.0005147,2.9940356,2.9951644,V
240,TxBrd_DC30V_SL04_CH3_HI_Voltage,123,2.9949,0.0001434,2.9946,2.9951,0.0004952,2.9943264,2.9954736,V
250,TxBrd_DC30V_SL04_CH5_HI_Voltage,123,2.9947,0.0002197,2.9942,2.995,0.0007279,2.9938212,2.9955788,V
260,TxBrd_DC30V_SL04_CH7_HI_Voltage,123,2.9945,0.0001294,2.9943,2.9947,0.0004697,2.9939824,2.9950176,V
270,TxBrd_DC30V_SL04_CH9_HI_Voltage,123,2.995,0.0001806,2.9947,2.9953,0.0005553,2.9942776,2.9957224,V
280,TxBrd_DC30V_SL04_CH11_HI_Voltage,123,2.9947,0.0002894,2.9944,2.9953,0.000905,2.9935424,2.9958576,V
290,TxBrd_DC30V_SL04_CH13_HI_Voltage,123,2.9952,0.0001936,2.9949,2.9956,0.0007112,2.9944256,2.9959744,V
300,TxBrd_DC30V_SL04_CH15_HI_Voltage,123,2.9953,0.000148,2.9951,2.9955,0.0004771,2.994708,2.995892,V
310,TxBrd_DC30V_SL04_CH17_HI_Voltage,123,2.9949,0.0001642,2.9946,2.9952,0.0005658,2.9942432,2.9955568,V
320,TxBrd_DC30V_SL04_CH19_HI_Voltage,123,2.9941,0.0002083,2.9937,2.9945,0.0007427,2.9932668,2.9949332,V
330,TxBrd_DC30V_SL10_CH1_HI_Voltage,123,2.9931,0.0001453,2.9928,2.9934,0.0005748,2.9925188,2.9936812,V
340,TxBrd_DC30V_SL10_CH3_HI_Voltage,123,2.9937,0.000147,2.9934,2.994,0.0005701,2.993112,2.994288,V
350,TxBrd_DC30V_SL10_CH5_HI_Voltage,123,2.9932,0.0001859,2.9929,2.9935,0.0006168,2.9924564,2.9939436,V
360,TxBrd_DC30V_SL10_CH7_HI_Voltage,123,2.9924,0.0001378,2.9921,2.9926,0.0004847,2.9918488,2.9929512,V
370,TxBrd_DC30V_SL10_CH9_HI_Voltage,123,2.9935,0.0001472,2.9933,2.9938,0.0004995,2.9929112,2.9940888,V
380,TxBrd_DC30V_SL10_CH11_HI_Voltage,123,2.9937,0.0001477,2.9935,2.994,0.0004952,2.9931092,2.9942908,V
390,TxBrd_DC30V_SL10_CH13_HI_Voltage,123,2.9915,0.0002354,2.991,2.9919,0.0008509,2.9905584,2.9924416,V
400,TxBrd_DC30V_SL10_CH15_HI_Voltage,123,2.9922,0.0001853,2.9919,2.9926,0.0006588,2.9914588,2.9929412,V
410,TxBrd_DC30V_SL10_CH17_HI_Voltage,123,2.9913,0.0002084,2.9909,2.9916,0.0006528,2.9904664,2.9921336,V
420,TxBrd_DC30V_SL10_CH19_HI_Voltage,123,2.9925,0.0001753,2.9922,2.9929,0.0006213,2.9917988,2.9932012,V
430,TxBrd_DC30V_SL24_CH2_LO_Current,123,0.0009998,4.32E-08,0.0009997,0.0009999,1.92E-07,0.000999627,0.000999973,A
440,TxBrd_DC30V_SL24_CH4_LO_Current,123,0.0009999,3.43E-08,0.0009998,0.001,1.52E-07,0.000999763,0.001000037,A
450,TxBrd_DC30V_SL24_CH6_LO_Current,123,0.0009999,9.92E-08,0.0009997,0.001,3.41E-07,0.000999503,0.001000297,A
