--------------------------------------------------------------------------------
File Name:                	TXBoard1.stdf
Lot ID:                   	Default

Test #   Test Name                                   Count         Mean           SD           Min          Max        Range    QC-Lo-Lim    QC-Hi-Lim    Units   
    10   TxBrd_DIB_Supply_5V_1                          60       4.9863       0.0012        4.9848       4.9877       0.0029        4.500        5.500    
    20   TxBrd_DIB_Supply_5V_2                          60       5.0241   0.9365E-03        5.0228       5.0252       0.0024        4.500        5.500   V
    30   TxBrd_DIB_Supply_5V_3                          60       5.0138   0.6832E-03        5.0129       5.0148       0.0019        4.500        5.500   V
    40   TxBrd_DIB_Supply_12V_Slave                     60      12.0587   0.4126E-03       12.0577      12.0594       0.0016       10.500       13.050   V
    50   TxBrd_Master_15V                               60      14.7077       0.0045       14.7026      14.7131       0.0105       13.500       16.500   V
    60   TxBrd_Slave_15V                                60      15.0173       0.0010       15.0160      15.0186       0.0026       13.500       16.500   V
    70   TxBrd_Relay_Supply_12V                         60      11.5861       0.0068       11.5660      11.5953       0.0293       10.500       13.050   V
    80   TxBrd_TFE_5V                                   60       5.0086   0.9601E-03        5.0074       5.0098       0.0024        4.500        5.500   V
    90   TxBrd_HMOD_5V                                  60       4.9846   0.8144E-03        4.9833       4.9857       0.0024        4.500        5.500   V
   100   TxBrd_COMP_n5p2V                               60      -5.1987   0.7999E-03       -5.1999      -5.1977       0.0022       -5.500       -4.500   V
   110   TxBrd_XOR_n5V                                  60      -4.9933   0.6598E-03       -4.9945      -4.9923       0.0022       -5.500       -4.500   V
   120   TxBrd_n2V                                      60      -1.9778   0.7140E-03       -1.9787      -1.9769       0.0018       -2.500       -1.500   V
   130   TxBrd_DC30V_SL24_CH1_HI_Voltage                60       2.9943   0.0923E-03        2.9942       2.9945   0.3376E-03        2.500        3.500   V
   140   TxBrd_DC30V_SL24_CH3_HI_Voltage                60       2.9945   0.4052E-03        2.9941       2.9951   0.9754E-03        2.500        3.500   V
   150   TxBrd_DC30V_SL24_CH5_HI_Voltage                60       2.9945       0.0013        2.9925       2.9975       0.0050        2.500        3.500   V
   160   TxBrd_DC30V_SL24_CH7_HI_Voltage                60       2.9934       0.0012        2.9905       2.9960       0.0055        2.500        3.500   V
   170   TxBrd_DC30V_SL24_CH9_HI_Voltage                60       2.9937   0.4942E-03        2.9908       2.9943       0.0035        2.500        3.500   V
   180   TxBrd_DC30V_SL24_CH11_HI_Voltage               60       2.9937   0.0548E-03        2.9936       2.9938   0.2131E-03        2.500        3.500   V
   200   TxBrd_DC30V_SL24_CH15_HI_Voltage               60       2.9927       0.0012        2.9841       2.9932       0.0091        2.500        3.500   V
   210   TxBrd_DC30V_SL24_CH17_HI_Voltage               60       2.9941       0.0011        2.9872       2.9944       0.0072        2.500        3.500   V
   220   TxBrd_DC30V_SL24_CH19_HI_Voltage               60       2.9942   0.1538E-03        2.9940       2.9945   0.4725E-03        2.500        3.500   V
   230   TxBrd_DC30V_SL04_CH1_HI_Voltage                60       2.9933       0.0026        2.9821       2.9946       0.0125        2.500        3.500   V
   240   TxBrd_DC30V_SL04_CH3_HI_Voltage                60       2.9942       0.0012        2.9880       2.9948       0.0068        2.500        3.500   V
   250   TxBrd_DC30V_SL04_CH5_HI_Voltage                60       2.9941       0.0011        2.9905       2.9947       0.0042        2.500        3.500   V
   260   TxBrd_DC30V_SL04_CH7_HI_Voltage                60       2.9943   0.2393E-03        2.9931       2.9946       0.0015        2.500        3.500   V
   270   TxBrd_DC30V_SL04_CH9_HI_Voltage                60       2.9948   0.1503E-03        2.9939       2.9950       0.0010        2.500        3.500   V
   280   TxBrd_DC30V_SL04_CH11_HI_Voltage               60       2.9946   0.1338E-03        2.9944       2.9948   0.4215E-03        2.500        3.500   V
   290   TxBrd_DC30V_SL04_CH13_HI_Voltage               60       2.9935       0.0027        2.9859       2.9953       0.0093        2.500        3.500   V
   300   TxBrd_DC30V_SL04_CH15_HI_Voltage               60       2.9947   0.9438E-03        2.9904       2.9953       0.0048        2.500        3.500   V
   310   TxBrd_DC30V_SL04_CH17_HI_Voltage               60       2.9944   0.7836E-03        2.9906       2.9949       0.0044        2.500        3.500   V
   320   TxBrd_DC30V_SL04_CH19_HI_Voltage               60       2.9939   0.4123E-03        2.9918       2.9942       0.0024        2.500        3.500   V
   330   TxBrd_DC30V_SL10_CH1_HI_Voltage                60       2.9928   0.6252E-03        2.9880       2.9930       0.0049        2.500        3.500   V
   340   TxBrd_DC30V_SL10_CH3_HI_Voltage                60       2.9935   0.0892E-03        2.9934       2.9937   0.3288E-03        2.500        3.500   V
   350   TxBrd_DC30V_SL10_CH5_HI_Voltage                60       2.9931   0.1280E-03        2.9929       2.9933   0.3991E-03        2.500        3.500   V
   360   TxBrd_DC30V_SL10_CH7_HI_Voltage                60       2.9922   0.1566E-03        2.9920       2.9925   0.4697E-03        2.500        3.500   V
   370   TxBrd_DC30V_SL10_CH9_HI_Voltage                60       2.9933   0.1340E-03        2.9931       2.9935   0.4067E-03        2.500        3.500   V
