Test Number,Test Name,Pin,Published Data Id,Low Limit,High Limit,Scaling Factor,Base Units,Software Bin,Evaluation Type,Test Data Source,Export Data To
10,TxBrd_DIB_Supply_5V_1,P143_4081_DMM,DIB_Supply_5V_1,4.5,5.5,,V,,Numeric Limit,,
20,TxBrd_DIB_Supply_5V_2,P143_4081_DMM,DIB_Supply_5V_2,4.5,5.5,,V,,Numeric Limit,,
30,TxBrd_DIB_Supply_5V_3,P143_4081_DMM,DIB_Supply_5V_3,4.5,5.5,,V,,Numeric Limit,,
40,TxBrd_DIB_Supply_12V_Slave,P143_4081_DMM,DIB_Supply_12V_Slave,10.8,13.2,,V,,Numeric Limit,,
50,TxBrd_Master_15V,P143_4081_DMM,Master_15V,13.5,16.5,,V,,Numeric Limit,,
60,TxBrd_Slave_15V,P143_4081_DMM,Slave_15V,13.5,16.5,,V,,Numeric Limit,,
70,TxBrd_Relay_Supply_12V,P143_4081_DMM,Relay_Supply_12V,10.8,13.2,,V,,Numeric Limit,,
80,TxBrd_TFE_5V,P143_4081_DMM,TFE_5V,4.5,5.5,,V,,Numeric Limit,,
90,TxBrd_HMOD_5V,P143_4081_DMM,HMOD_5V,4.5,5.5,,V,,Numeric Limit,,
100,TxBrd_COMP_n5p2V,P143_4081_DMM,COMP_n5p2V,-5.72,-4.68,,V,,Numeric Limit,,
110,TxBrd_XOR_n5V,P143_4081_DMM,XOR_n5V,-5.5,-4.5,,V,,Numeric Limit,,
120,TxBrd_n2V,P143_4081_DMM,n2V,-2.2,-1.8,,V,,Numeric Limit,,
130,TxBrd_DC30V_SL24_CH1_HI_Voltage,DC30V_SL24_CH1,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
140,TxBrd_DC30V_SL24_CH3_HI_Voltage,DC30V_SL24_CH3,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
150,TxBrd_DC30V_SL24_CH5_HI_Voltage,DC30V_SL24_CH5,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
160,TxBrd_DC30V_SL24_CH7_HI_Voltage,DC30V_SL24_CH7,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
170,TxBrd_DC30V_SL24_CH9_HI_Voltage,DC30V_SL24_CH9,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
180,TxBrd_DC30V_SL24_CH11_HI_Voltage,DC30V_SL24_CH11,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
190,TxBrd_DC30V_SL24_CH13_HI_Voltage,DC30V_SL24_CH13,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
200,TxBrd_DC30V_SL24_CH15_HI_Voltage,DC30V_SL24_CH15,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
210,TxBrd_DC30V_SL24_CH17_HI_Voltage,DC30V_SL24_CH17,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
220,TxBrd_DC30V_SL24_CH19_HI_Voltage,DC30V_SL24_CH19,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
230,TxBrd_DC30V_SL04_CH1_HI_Voltage,DC30V_SL04_CH1,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
240,TxBrd_DC30V_SL04_CH3_HI_Voltage,DC30V_SL04_CH3,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
250,TxBrd_DC30V_SL04_CH5_HI_Voltage,DC30V_SL04_CH5,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
260,TxBrd_DC30V_SL04_CH7_HI_Voltage,DC30V_SL04_CH7,DC30_HI_Voltage,2.5,3.5,,V,,Numeric Limit,,
